station,latitude,longitude,elevation
ECFS,33.65,-117.41,801.41
ECHO,37.92,-114.26,1684.11
ECSD,43.73,-96.61,444.36
EDPP,34.95,-118.83,379.85
EGAN,39.35,-114.94,1998.28
ELEN,16.92,-89.87,118.14
ELKO,40.91,-115.82,2016.90
ELLY,33.58,-118.13,-2.87
ELMA,12.47,-86.67,445.24
ELVI,10.39,-85.45,81.86
EMIG,44.07,-112.93,1946.04
EOUT,41.25,-111.93,1677.85
EPZA,10.14,-85.57,668.63
ESN1,40.60,28.92,2.00
EWPP,34.10,-117.53,330.49
EYAC,60.55,-145.75,146.05
FALL,-85.31,-143.63,262.10
FCDE,25.62,-80.31,1.00
FCHO,25.91,-80.12,1.00
FCI1,25.91,-80.14,2.00
FCI2,25.91,-80.14,1.00
FERN,35.34,-112.45,1767.92
FGST,34.73,-120.01,904.09
FIE0,-76.14,168.42,153.71
FLM5,-77.53,160.27,1869.82
FMVT,34.36,-118.88,617.01
FONP,-65.25,-61.65,65.47
FOOT,39.37,-113.81,1547.40
FORE,40.51,-111.38,1796.68
FOS1,-71.31,-68.32,158.80
FRED,36.99,-112.50,1529.73
FRKI,-76.16,168.38,0.00
FS63,61.47,-149.72,42.28
FS82,61.55,-149.82,64.02
FTP4,-78.93,162.56,243.20
GANJ,40.68,46.36,443.50
GARL,40.42,-119.36,1640.24
GCEA,19.29,-81.38,16.06
GCFS,19.31,-81.18,-10.73
GLDK,-72.23,-100.59,55.70
GLRS,33.27,-115.52,-48.64
GLS1,66.48,-46.31,2150.00
GLS2,69.09,-39.65,2917.00
GLS3,77.43,-51.11,2480.00
GMEZ,-73.89,-68.54,1420.26
GMMA,77.81,-19.65,521.83
GMPK,33.05,-114.83,591.19
GMRC,34.78,-115.66,1298.21
GNPS,34.31,-114.19,232.40
GOBS,45.84,-120.81,621.48
GOSH,40.64,-114.18,1560.21
GOUT,39.91,-111.90,1509.35
GR8R,36.40,-120.42,206.04
GRE1,12.22,-61.64,16.30
GRNX,63.84,-148.98,594.47
GROK,78.44,-22.90,1045.93
GRRG,42.94,-111.42,2198.38
GRS2,34.36,-106.68,1576.00
GRZA,9.92,-85.64,39.77
GTRG,43.24,-113.24,1539.13
GUAT,14.59,-90.52,1519.87
GUAX,28.88,-118.29,40.49
GV01,0.78,-91.11,1043.70
GV02,-0.81,-91.13,946.10
GV03,-0.80,-91.13,926.10
GV04,-0.81,-91.14,945.20
GV05,-0.80,-91.12,911.70
GV06,-0.83,-91.13,969.60
GV07,-0.84,-91.13,1027.70
GV08,-0.84,-91.13,904.80
GV09,-0.84,-91.15,1037.30
GV10,-0.85,-91.15,1046.10
GV11,-0.95,-90.96,11.00
GZ20,-84.25,-165.60,52.80
HAAG,-77.04,-78.29,1172.60
HALK,41.06,28.79,157.60
HATI,10.29,-85.71,58.74
HCES,36.33,-89.17,77.93
HCMN,34.75,-116.43,568.76
HCRO,40.82,-121.47,1000.11
HDIL,40.56,-89.29,199.92
HEL2,66.40,-38.22,424.97
HERH,12.61,-86.83,739.50
HETA,27.41,85.05,415.00
HIVI,34.76,-117.80,930.88
HJOR,63.42,-41.15,762.70
HLNE,-35.00,-71.74,50.92
HMBG,73.68,-28.13,1322.91
HNPS,33.71,-115.64,393.95
HOG2,-77.53,166.93,2107.00
HOGS,35.87,-120.48,762.88
HOWE,-87.42,-149.43,2584.70
HOWN,-77.53,-86.77,1478.50
HPIG,43.71,-113.10,2640.71
HRDG,81.88,-44.52,718.41
HSMN,29.80,-95.47,2.90
HTON,-74.08,-61.73,950.50
HUA2,10.02,-85.35,594.26
HUGO,-64.96,-65.67,20.00
HUNT,35.88,-120.40,449.35
HURR,37.06,-113.57,924.00
HVWY,44.61,-110.54,2406.85
